Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE20957870192904,Sat Feb 15 05:15:31 CET 2020,3317.29,EUR,Quibusdam molestias voluptates ab magnam dolorem.
Jos,BE69771770897312,BE77728371116913,Thu Feb 13 18:32:01 CET 2020,1607.97,EUR,Quam exercitationem totam molestiae.
Jos,BE69771770897312,BE14223116321261,Wed Feb 12 09:54:22 CET 2020,1949.16,EUR,Quo et incidunt.
Jos,BE69771770897312,BE49864940669633,Sun Feb 09 03:29:31 CET 2020,-2723.46,EUR,Culpa itaque eos.
Jos,BE69771770897312,BE51116932290852,Sat Feb 01 12:31:27 CET 2020,875.63,EUR,Sed ratione sit accusantium reiciendis.
Jos,BE69771770897312,BE69077003267176,Sun Feb 16 16:48:02 CET 2020,-4032.99,EUR,Animi esse ratione explicabo error excepturi.
Jos,BE69771770897312,BE43990576397477,Fri Feb 07 04:40:18 CET 2020,-4171.18,EUR,Quia praesentium sed.
Jos,BE69771770897312,BE49265472565865,Tue Feb 04 04:13:49 CET 2020,694.08,EUR,Ea consectetur at non.
Jos,BE69771770897312,BE54661693036221,Fri Feb 14 21:17:29 CET 2020,3944.52,EUR,Quos et amet aliquam repudiandae in.
Jos,BE69771770897312,BE66876101820194,Wed Feb 19 06:47:53 CET 2020,2894.0,EUR,Laboriosam impedit rem explicabo quia.
Jos,BE69771770897312,BE80398200149477,Wed Jan 29 19:50:20 CET 2020,-3996.15,EUR,Pariatur harum ipsam assumenda et quod.
Jos,BE69771770897312,BE50514544703653,Sat Feb 01 16:34:27 CET 2020,2791.97,EUR,Sit aliquam sit aut.
Jos,BE69771770897312,BE28395878753979,Sun Feb 02 17:25:52 CET 2020,-3904.84,EUR,Recusandae cum exercitationem molestiae voluptatem.
Jos,BE69771770897312,BE75432324240608,Wed Jan 22 11:51:34 CET 2020,4489.73,EUR,Dolor tempore nisi vel.
Jos,BE69771770897312,BE86321948347228,Thu Jan 30 19:56:39 CET 2020,-4092.69,EUR,Distinctio repellat rerum eaque quo dolores.
