2020-02-24 15:42:48,696 ERROR b.p.s.u.BudgetPlannerImporter:37 [main] Invalid payment date
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-15T05:15:31, amount=3317.29, currency='EUR', detail='Quibusdam molestias voluptates ab magnam dolorem.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-13T18:32:01, amount=1607.97, currency='EUR', detail='Quam exercitationem totam molestiae.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T09:54:22, amount=1949.16, currency='EUR', detail='Quo et incidunt.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-09T03:29:31, amount=-2723.46, currency='EUR', detail='Culpa itaque eos.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-01T12:31:27, amount=875.63, currency='EUR', detail='Sed ratione sit accusantium reiciendis.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-16T16:48:02, amount=-4032.99, currency='EUR', detail='Animi esse ratione explicabo error excepturi.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-07T04:40:18, amount=-4171.18, currency='EUR', detail='Quia praesentium sed.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-04T04:13:49, amount=694.08, currency='EUR', detail='Ea consectetur at non.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T21:17:29, amount=3944.52, currency='EUR', detail='Quos et amet aliquam repudiandae in.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-19T06:47:53, amount=2894.0, currency='EUR', detail='Laboriosam impedit rem explicabo quia.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-29T19:50:20, amount=-3996.15, currency='EUR', detail='Pariatur harum ipsam assumenda et quod.'}]}
